Stimulus, Value
0.990000000223517,1
0.980000000447035,1
0.970000000670552,1
0.96000000089407,1
0.950000001117587,1
0.940000001341105,1
0.930000001564622,1
0.920000001788139,1
0.910000002011657,1
0.900000002235174,1
0.890000002458692,1
0.880000002682209,1
0.870000002905726,1
0.860000003129244,1
0.850000003352761,1
0.840000003576279,1
0.830000003799796,1
0.820000004023314,1
0.810000004246831,1
0.800000004470348,1
0.790000004693866,1
0.780000004917383,1
0.770000005140901,1
0.760000005364418,1
0.750000005587935,1
0.740000005811453,1
0.73000000603497,1
0.720000006258488,1
0.710000006482005,1
0.700000006705523,1
0.69000000692904,1
0.680000007152557,1
0.670000007376075,1
0.660000007599592,1
0.65000000782311,1
0.640000008046627,1
0.630000008270144,1
0.620000008493662,1
0.610000008717179,1
0.600000008940697,1
0.590000009164214,1
0.580000009387732,1
0.570000009611249,1
0.560000009834766,1
0.550000010058284,1
0.540000010281801,1
0.530000010505319,1
0.520000010728836,1
0.510000010952353,1
0.500000011175871,1
0.490000011399388,1
0.480000011622906,1
0.470000011846423,1
0.460000012069941,1
0.450000012293458,1
0.440000012516975,1
0.430000012740493,1
0.42000001296401,1
0.410000013187528,1
0.400000013411045,0
0.410000013187528,0
0.42000001296401,0
0.430000012740493,0
0.440000012516975,0
0.450000012293458,0
0.460000012069941,0
0.470000011846423,1
0.460000012069941,1
0.450000012293458,1
0.440000012516975,1
0.430000012740493,1
0.42000001296401,1
0.410000013187528,1
0.400000013411045,1
0.390000013634562,1
0.38000001385808,0
0.390000013634562,0
0.400000013411045,0
0.410000013187528,0
0.42000001296401,0
0.430000012740493,0
0.440000012516975,0
0.450000012293458,0
0.460000012069941,0
0.470000011846423,0
0.480000011622906,0
0.490000011399388,0
0.500000011175871,0
0.510000010952353,0
0.520000010728836,0
0.530000010505319,0
0.540000010281801,0
0.550000010058284,0
0.560000009834766,0
0.570000009611249,0
0.580000009387732,0
0.590000009164214,0
0.600000008940697,1
0.590000009164214,1
0.580000009387732,1
0.570000009611249,1
0.560000009834766,1
0.550000010058284,1
0.540000010281801,1
0.530000010505319,1
0.520000010728836,1
0.510000010952353,1
0.500000011175871,1
0.490000011399388,1
0.480000011622906,0
0.490000011399388,0
0.500000011175871,1
0.490000011399388,1
0.480000011622906,0
0.490000011399388,0
0.500000011175871,1
0.490000011399388,1
0.480000011622906,1
0.470000011846423,1
0.460000012069941,1
0.450000012293458,1
0.440000012516975,1
0.430000012740493,1
0.42000001296401,1
0.410000013187528,0
